우선순위,구_y,단속장소,위험점수,위험등급,위험시간,추천대응,위도,경도
1,의창구,힐스테이트아티움시티 10,100.0,높음,13시,고위험 시간대 집중 순찰 + 사전 주정차 안내,35.2358849,128.6414092
2,의창구,팔용동탑마트주변,84.2,높음,9시,고위험 시간대 집중 순찰 + 사전 주정차 안내,,
3,의창구,용동창원중앙역승강장,71.9,높음,11시,위험 시간대 사전 안내 + 순찰 강화,35.23956533,128.70322501
4,의창구,창원터미널,70.0,보통,18시,위험 시간대 사전 안내 + 순찰 강화,,
5,의창구,용동한마음병원주변,57.2,보통,13시,일반 모니터링 및 계도,,
6,의창구,팔용동공영주차빌딩,52.3,보통,13시,일반 모니터링 및 계도,,
7,의창구,지귀상가맞은편,40.6,보통,14시,일반 모니터링 및 계도,,
8,의창구,북면덕산아내2차주변,37.1,낮음,20시,일반 모니터링 및 계도,,
9,의창구,용동현대썬앤빌주변2,32.8,낮음,13시,일반 모니터링 및 계도,,
11,의창구,서상동 평산로219번길,30.0,낮음,10시,일반 모니터링 및 계도,,
10,의창구,명곡동사거리부근,30.0,낮음,9시,일반 모니터링 및 계도,,
12,의창구,팔용동아티움시티103동앞,27.8,낮음,17시,일반 모니터링 및 계도,,
13,의창구,용동창원중앙역회전차로,25.4,낮음,15시,일반 모니터링 및 계도,35.23956533,128.70322501
14,의창구,팔용동 파티마빌딩 사거,25.2,낮음,14시,일반 모니터링 및 계도,,
15,의창구,유니시티2단지203동앞,23.2,낮음,14시,일반 모니터링 및 계도,,
16,의창구,팔용동 벽산아파트 주변,22.9,낮음,20시,일반 모니터링 및 계도,,
17,의창구,봉곡동봉곡삼거리,20.7,낮음,10시,일반 모니터링 및 계도,,
18,의창구,북면 힐프라자 주변,18.0,낮음,9시,일반 모니터링 및 계도,,
19,의창구,팔용동아티움시티101동앞,17.5,낮음,13시,일반 모니터링 및 계도,,
20,의창구,도계동 원이대로56번길,17.1,낮음,19시,일반 모니터링 및 계도,,
21,의창구,중동 의창대로266번길,17.0,낮음,9시,일반 모니터링 및 계도,,
22,의창구,중동어반브릭스앞,16.2,낮음,18시,일반 모니터링 및 계도,,
23,의창구,팔용동 사화로18번길,15.5,낮음,10시,일반 모니터링 및 계도,,
24,의창구,봉림동 태복산로,14.9,낮음,14시,일반 모니터링 및 계도,,
25,의창구,무동 상신빌딩 앞,14.5,낮음,9시,일반 모니터링 및 계도,,
26,의창구,팔용동 반계로,14.1,낮음,7시,일반 모니터링 및 계도,,
27,의창구,소답동 의안민원센타,13.3,낮음,16시,일반 모니터링 및 계도,,
29,의창구,중동의창초등학교주변,12.8,낮음,9시,일반 모니터링 및 계도,,
28,의창구,팔용동 팔용로,12.8,낮음,7시,일반 모니터링 및 계도,,
31,의창구,사림동 사림로,12.7,낮음,18시,일반 모니터링 및 계도,,
